employee_id,company,department,employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor
48,Cheerper,BigData,6,30,22,5,88731.54539,24792.91,2,0.014426179,0.815081193,0.170799756
49,Glasses,AI,8,45,38,7,99422.48138,17636.98236,2,0.259337285,0.295434602,0.445368309
50,Cheerper,Support,1,38,32,6,104722.8973,15127.34699,3,0.436768342,0.562507562,0.000740973
51,Cheerper,AI,41,30,22,9,92883.28914,18571.36743,2,0.866575639,0.824634005,0
52,Glasses,Design,1,30,24,5,143174.7048,24792.91,1,0.826253783,0.258853247,0
53,Cheerper,Search Engine,28,30,23,7,81701.16203,20680.57281,3,0.770345091,0.41755074,0
54,Glasses,AI,15,44,42,2,124574.5962,21292.32532,1,0.505064274,0.375764767,0.119483895
55,Glasses,BigData,10,31,27,5,70511.28919,24711.81563,1,0,0.842762442,0.475677839
56,Glasses,Search Engine,21,30,24,6,85925.90612,19284.87186,2,0.447235429,0.286772578,0.266180362
57,Glasses,Design,1,30,22,8,90114.44964,18108.01338,2,0.672140193,0,0.464703872
58,Pear,Sales,4,38,33,6,83250.19474,16171.56747,3,0.443959644,0,1
59,Pear,Sales,27,41,39,2,113894.2863,24792.91,1,0.700694442,0,0.985704417
60,Glasses,AI,61,30,26,4,65175.27416,9000,5,0.593298785,0,0.423371185
61,Cheerper,Support,36,35,27,8,54272.33764,17672.84189,2,0,1,0
62,Glasses,AI,26,35,28,8,96180.03003,21368.78681,2,0.614698601,0.491024767,0
63,Glasses,AI,56,47,43,4,72063.16185,16080.35712,3,0.376688656,0.221515872,0.402002629
64,Cheerper,Support,80,35,25,9,40000,9000,4,0.144761791,1,0
65,Glasses,Search Engine,31,35,30,6,109050.6766,9000,5,1,0.348233705,0
66,Cheerper,BigData,46,43,35,7,54285.08756,17816.50512,2,0,0.840239581,0.396670516
67,Glasses,AI,19,34,31,3,108545.7946,24470.90042,2,0.549234709,0.351859357,0.099049082
68,Cheerper,Search Engine,1,32,22,9,87123.77858,14463.21342,3,0.423014887,0.767645352,0
69,Pear,Design,30,46,40,6,107958.934,19917.73563,2,0.708719799,0,0.360209635
70,Pear,AI,46,32,29,3,49619.96214,13928.65447,4,0.267629462,0.03369113,0.699081457
71,Cheerper,Support,76,49,48,2,40000,23904.6499,2,0,0.824436132,0.896240192
72,Cheerper,Support,4,30,22,8,67869.00681,24792.91,1,0,0.955994206,0.187076794
73,Cheerper,Support,51,31,28,3,40000,11442.71691,4,0,0.466489036,1
74,Glasses,Search Engine,29,37,32,5,100042.5528,24792.91,2,0.47569031,0.870945851,0
75,Pear,Sales,45,44,45,1,108660.4719,13740.78168,3,0.476808904,0,0.869122428
76,Cheerper,BigData,28,37,29,8,40000,20436.49837,1,0,0.635521069,1
77,Glasses,Search Engine,1,31,23,8,106224.5724,24718.7401,1,0.103998636,0.391472056,0.504585139
78,Cheerper,BigData,16,37,30,8,88315.50716,14716.86395,3,0.289844136,0.733470685,0
79,Glasses,AI,11,33,30,3,91692.10916,21471.5932,2,0,0.489744959,0.626547851
80,Cheerper,Support,21,46,37,9,83395.08537,16596.98787,2,0.129605403,1,0
81,Glasses,Search Engine,30,45,39,6,80287.19114,18719.92324,2,0.202710925,0.429936602,0.367343698
82,Cheerper,Support,1,34,27,7,94372.9971,24589.34408,1,0.247247076,0.77036503,0
83,Glasses,Search Engine,1,46,43,3,126732.7597,18099.33817,2,0.269441955,0.354076344,0.376016391
84,Glasses,AI,36,38,34,5,89259.27102,22863.8304,2,0.524070315,0.037413695,0.438465117
85,Glasses,AI,70,38,41,1,69909.04331,16393.49628,4,0.15196819,0.006413831,0.841369845
86,Pear,Design,63,45,42,3,53854.8496,16312.80371,3,0.272896431,0,1
87,Pear,Design,35,40,43,1,125982.203,10783.77979,4,0.740968554,0,0.415107908
88,Glasses,Search Engine,67,37,38,1,72323.51262,15555.96838,5,0.534846505,0.113561438,0.351722889
89,Pear,Sales,22,44,40,4,89256.73395,24792.91,1,0.201288417,0,1
90,Cheerper,BigData,30,36,26,9,63082.79955,15230.41022,3,0.340469485,0.511709128,0.148017109
91,Cheerper,BigData,20,47,46,1,107702.4093,12950.43401,3,0.311694995,0.29165693,0.396702203
92,Cheerper,Support,80,30,22,9,40000,13228.91579,4,0.050363107,1,0
93,Cheerper,Support,11,31,22,9,58791.48418,19103.18077,3,0.138701962,0.803856607,0.057389304
94,Pear,Design,46,42,46,1,115849.8528,22771.19889,2,0.470187035,0.018964248,0.510608383
95,Cheerper,BigData,1,38,27,9,81985.45504,13234.42556,1,0.072750882,1,0
96,Cheerper,Support,32,30,22,8,64401.31044,24792.91,3,0.238083109,1,0
97,Glasses,Search Engine,23,30,25,3,83281.79945,22011.54993,3,0.426560032,0.267140862,0.306554694
98,Pear,Design,12,39,37,2,128263.1089,15712.24018,3,0.833690484,0,0.401947142
99,Pear,Sales,38,47,42,5,116901.8817,16349.89515,3,1,0,0.243639101
100,Pear,Sales,45,32,28,4,52767.48076,24792.91,1,0.08864743,0,1
101,Cheerper,BigData,5,35,29,6,77884.99493,14744.60159,4,0.115901579,0.169635824,0.714407257
102,Glasses,AI,40,46,45,1,122757.9115,14999.44895,4,0.817547271,0.112025652,0.070227651
103,Glasses,Design,48,37,34,3,88090.36254,18696.07197,2,0.494506989,0.294133225,0.211449717
104,Cheerper,BigData,34,44,38,6,82863.03796,16857.28275,2,0.285742275,0.908410987,0
105,Cheerper,BigData,22,42,36,6,79480.58088,24792.91,1,0,0.861308058,0.154954692
106,Pear,AI,8,31,27,4,74989.03586,24047.60713,1,0.178408539,0.140253984,0.681084743
107,Glasses,Search Engine,28,39,30,8,61995.14571,18141.88077,2,0,0.409609018,0.644892555
108,Pear,Design,72,45,42,3,46355.42126,15424.61863,2,0,0,1
109,Pear,Sales,63,47,46,2,94987.44609,18295.86261,2,0.728636726,0,0.887613521
110,Glasses,Search Engine,52,38,39,1,40000,16295.1875,4,0,0,1
111,Glasses,AI,35,36,31,5,83083.13054,10806.45182,4,0.587513196,0.054648111,0.35793959
112,Glasses,AI,6,30,26,4,118386.7386,22937.66091,3,0.826781463,0.187188646,0
113,Pear,Design,20,41,40,1,115033.5318,19230.31249,3,0.728381411,0,0.401431202
114,Pear,Design,52,36,35,1,88028.29873,16946.42978,3,0.380838471,0,0.748995206
115,Glasses,Design,6,39,34,5,104176.4762,20691.27208,1,0.295067999,0.023550091,0.681331566
116,Glasses,Search Engine,9,30,22,8,101312.0446,19295.4767,3,0.909389296,0.514323459,0
117,Glasses,AI,57,40,41,1,73130.19141,17463.72257,3,0,0.270243044,0.745980441
118,Cheerper,Support,49,35,34,2,76193.75467,17302.95275,5,0.298881103,1,0
119,Glasses,Search Engine,80,49,48,2,46321.27212,22585.60695,1,0,0.684806243,0.716739557
120,Cheerper,AI,1,40,31,9,148934.5869,22207.12509,1,1,0.711889797,0
121,Cheerper,Support,25,41,34,7,63755.95035,20349.52462,1,0,0.990142111,0.194452801
122,Glasses,Search Engine,51,39,32,7,66503.6822,9892.236279,5,0.595644262,0.645302916,0
123,Pear,Design,1,31,22,8,125567.1067,21018.21287,2,0.993431928,0,0.161884853
124,Pear,Design,39,49,48,1,114783.6985,24598.39314,1,0.679043163,0,0.511911897
125,Cheerper,BigData,37,49,48,1,87379.25338,17385.10912,2,0.000308922,0.211414768,0.788359236
126,Glasses,BigData,69,48,48,1,69363.73609,9000,5,0.132842002,0.260028066,0.607703161
127,Cheerper,Support,70,38,37,1,40000,21440.71476,3,0,0.688122337,0.773907439
128,Glasses,Search Engine,1,30,22,9,90279.28895,12051.83618,4,0.647487493,0.473869452,0
129,Glasses,Design,25,31,22,9,89853.59037,20998.6708,1,0.812088259,0.516653179,0
130,Glasses,Design,35,35,26,9,96590.35959,14872.40993,4,1,0.165018542,0
131,Cheerper,BigData,18,30,22,9,48692.06956,20561.19221,2,0,1,0
132,Cheerper,Search Engine,1,33,26,7,108144.3257,23062.35894,2,0.244585388,0.668292744,0.087396341
133,Glasses,AI,32,42,44,1,97880.06192,24792.91,2,0,0.377547124,0.792271688
134,Cheerper,Support,27,32,26,6,52049.62283,17338.55255,4,0,0.917688948,0.159142968
135,Glasses,AI,7,38,33,5,79103.84526,20788.31261,2,0,0.256127769,0.86391057
136,Glasses,BigData,37,34,30,4,75574.39029,23809.62639,3,0.457804295,0.470028979,0.07214019
137,Glasses,AI,27,49,48,1,124974.8138,23699.70147,1,0.045861969,0.1189418,0.835425728
138,Pear,Sales,55,41,37,4,100690.5917,24792.91,1,0.630474744,0.347972483,0.022012783
139,Glasses,Search Engine,42,32,27,6,58747.21423,22170.11874,1,0,0.810557445,0.27085354
140,Glasses,Search Engine,55,35,31,4,42584.45323,12983.3346,5,0.427656805,0,0.818206863
141,Pear,Design,21,30,24,5,73987.8233,22171.01204,2,0.258970335,0.093121516,0.647756911
142,Glasses,Search Engine,1,30,22,6,95776.39966,24792.91,1,0.241205956,0.161386234,0.597241029
143,Pear,Sales,46,41,43,1,114098.7384,17456.932,3,0.880968199,0,0.876070467
144,Glasses,AI,46,49,48,2,96508.69389,11903.1654,4,0.391276597,0.184752596,0.423625614
145,Glasses,Search Engine,43,41,40,1,86820.3456,14420.76796,4,0.406669708,0.073621499,0.520089951
146,Glasses,Search Engine,40,44,41,2,54455.7164,17959.27835,3,0,0,1
147,Pear,Sales,1,30,22,9,141689.0274,24792.91,1,0.949353071,0.199434508,0
148,Glasses,AI,13,31,26,5,66261.45404,24392.22048,1,0,0.223948918,0.850681022
149,Cheerper,BigData,1,33,30,3,96427.10833,15078.35446,4,0.141363042,0.431693346,0.426617309
150,Glasses,Design,17,42,34,8,107975.5955,17306.10723,2,0.765824953,0.088902762,0.145113978
151,Glasses,AI,38,31,25,6,100850.9599,22282.21313,3,0.98532661,0.542700741,0
152,Pear,Sales,50,32,26,6,55948.09587,24792.91,1,0.02120376,0.150207447,0.828569985
153,Glasses,BigData,20,35,30,5,61676.07759,21320.56106,2,0,0.804836157,0.360060828
154,Pear,Design,25,36,35,1,109606.8975,24382.79989,2,0.391710204,0,0.7184421
155,Glasses,Search Engine,38,37,31,6,79060.35936,17827.39012,3,0.327998139,0.608815805,0.063382752
156,Glasses,AI,53,35,29,6,68514.62909,17617.72783,1,0.116679296,0.546693472,0.33676376
157,Glasses,Search Engine,56,40,38,3,59134.42024,17869.82565,2,0.037006391,0.408025334,0.555120561
158,Pear,Design,1,36,30,6,103238.1745,23587.40007,1,0.329714284,0,0.782659644
159,Cheerper,Search Engine,31,39,28,9,94420.39628,21753.46661,1,0.387780417,1,0
160,Glasses,Search Engine,42,42,42,1,91128.61963,21878.67411,3,0.064005088,0.222815582,0.712632096
161,Glasses,Search Engine,38,40,38,2,54495.635,15697.38245,3,0,0.234547607,1
162,Glasses,Search Engine,74,49,48,1,72357.11453,9010.376635,4,0,0.200598219,0.881201532
163,Cheerper,BigData,1,35,28,6,99907.41885,14064.08643,3,0.399320694,0.681129501,0
164,Glasses,AI,1,30,22,6,129076.7706,20071.69714,2,0.728282627,0.275768853,0
165,Pear,Design,80,47,48,1,71013.69712,12128.43949,4,0.432936911,0,0.823955429
166,Cheerper,BigData,78,43,39,4,40000,12430.44016,4,0,0.742616914,0.28804664
167,Glasses,Support,50,37,39,1,40000,24792.91,3,0,0.377024674,1
168,Glasses,AI,19,49,44,5,82294.74584,18188.11555,1,0.159510165,0.219634195,0.621056925
169,Cheerper,BigData,38,43,39,5,80986.78528,12403.72574,4,0.338476034,0.427472883,0.234001442
170,Glasses,AI,1,30,22,8,110488.2594,24173.19364,1,0.411665347,0.500823742,0.087838893
171,Glasses,AI,30,38,32,6,89942.60826,16073.63724,2,0.511660847,0.25378363,0.234644007
172,Pear,Design,80,40,35,5,40000,11252.22154,5,0.349910318,0,0.778279002
173,Cheerper,Support,50,44,36,7,48427.24625,18791.0058,3,0,1,0.149926637
174,Cheerper,Support,17,34,25,9,88848.37716,11186.91917,5,0.45918791,1,0
175,Cheerper,Search Engine,22,38,27,9,75301.57106,16056.18821,2,0.199486466,0.57820901,0.222866432
176,Cheerper,BigData,49,30,24,7,42309.60646,17506.93609,3,0,0.402763018,0.648637254
177,Cheerper,Support,25,32,28,4,74356.23425,17685.38569,3,0,1,0
178,Glasses,AI,52,46,43,3,57541.07874,16570.86919,2,0,0.342292557,0.719111582
179,Cheerper,BigData,1,33,26,7,89072.31692,18206.04215,2,0.022564745,0.703321869,0.273961834
180,Glasses,AI,41,31,26,5,74476.73274,21895.60813,1,0.155267151,0.23257474,0.611814186
181,Pear,Design,1,34,28,6,114491.9799,24792.91,1,0.467076179,0,0.612105279
182,Glasses,Design,35,33,26,8,119921.2397,21602.2247,2,1,0.571243215,0
183,Glasses,Search Engine,43,41,40,1,92757.94805,13430.67672,4,0.48889707,0.36197309,0.149076138
184,Pear,Sales,54,38,33,5,76778.93633,20208.18793,1,0.262341895,0.160925949,0.576423255
185,Pear,Sales,28,49,48,1,128884.966,15568.75824,3,0.660123833,0,0.829824015
186,Cheerper,BigData,21,30,22,6,51335.59718,19387.70627,2,0,0.800315504,0.450257559
187,Glasses,Search Engine,40,35,32,3,68270.20345,21260.57407,3,0.135287917,0.541921811,0.322423784
188,Glasses,AI,46,39,35,4,106770.4952,22085.61601,1,0.57240779,0.845583946,0
189,Glasses,AI,62,30,22,7,49572.75893,22786.03105,3,0.40182496,0.538410465,0.060043824
190,Glasses,AI,36,42,38,3,94201.00487,16249.19168,3,0.839766261,0,0.430056437
191,Cheerper,BigData,26,42,39,3,61371.24762,19613.40699,2,0,0.461843601,0.906319459
192,Cheerper,Support,19,49,41,8,68914.44889,10372.20741,2,0,1,0.31768691
193,Glasses,BigData,80,38,37,1,40000,22264.59955,3,0,0.563515012,0.483199072
194,Cheerper,Support,50,36,30,5,40000,9000,5,0,0.895880833,0.313995877
195,Glasses,Search Engine,1,38,35,3,146775.822,17785.71274,5,0.926501713,0.012361371,0.061013938
196,Glasses,Design,67,49,48,1,106727.2198,15269.83964,4,0.921431389,0,0.528885398
197,Cheerper,Support,49,33,28,5,40000,23990.37167,2,0,1,0.329098123
198,Glasses,AI,43,34,32,2,101044.5733,18105.84716,3,0.409134216,0.49296939,0.098122184
199,Pear,Sales,42,49,48,2,130611.4974,15424.00175,2,1,0,0.304905952
200,Cheerper,Search Engine,8,43,32,9,100092.0102,24792.91,1,0.259981417,0.94734205,0
201,Glasses,Search Engine,1,30,22,4,84419.27524,21444.04045,2,0,0.370792604,0.647572878
202,Cheerper,BigData,8,43,32,9,102554.8046,17775.28547,2,0.442451774,1,0
203,Cheerper,Support,80,39,39,1,40000,14324.66509,5,0,0.864841719,0.31993355
204,Cheerper,Support,70,49,48,1,68496.65485,14138.48963,4,0.274433519,0.224421404,0.500884037
205,Glasses,AI,38,40,38,3,87552.90585,22873.14011,1,0.295114866,0.289685513,0.415363945
206,Cheerper,Support,30,43,35,8,64360.16718,9693.439744,3,0.002308407,0.819941229,0.177989423
207,Cheerper,Search Engine,19,40,35,5,111140.8519,12138.90688,4,0.863759641,0.486157905,0
208,Pear,Sales,25,34,27,7,86173.08482,16141.51788,1,0.381924606,0.351946175,0.26549953
209,Glasses,Design,28,41,35,7,98698.92071,18448.41379,1,0.291081155,0.685115855,0.023765194
210,Glasses,Search Engine,12,33,31,2,115869.1587,13520.96012,5,0.741024766,0.085368989,0.173933188
211,Glasses,Search Engine,58,35,28,7,40000,11023.28121,3,0.005956067,0.348989262,0.645187123
212,Cheerper,Support,1,30,22,8,79245.00614,20823.56311,3,0.04133768,0.964056889,0
213,Glasses,AI,1,40,33,7,107027.5837,22826.06385,1,0.446239441,0.352497901,0.200741918
214,Pear,Design,39,38,33,5,73548.3751,11975.68824,4,0.559630303,0,0.647897234
215,Cheerper,Support,56,35,25,9,79483.2512,9000,5,0.862250697,1,0
216,Glasses,Search Engine,79,43,39,4,48283.76308,16460.67502,3,0.180133884,0.418813764,0.400740269
217,Glasses,AI,40,35,32,4,110507.1984,16960.41336,4,1,0.067302439,0
218,Glasses,AI,38,40,37,3,121560.1159,24445.35813,2,0.937734748,0.36048987,0
219,Glasses,Design,44,38,35,3,112654.3162,19937.27721,2,0.878247962,0.315073798,0
220,Pear,Sales,1,36,30,5,130285.9244,12607.31928,3,1,0,0.651730495
221,Pear,Sales,40,47,47,1,109270.3442,23788.81989,1,0.618484933,0,0.716978777
222,Pear,Sales,1,35,32,2,128278.0717,23988.38929,1,0.543210415,0,1
223,Glasses,AI,24,34,27,6,101686.5515,18823.53753,3,0.677271323,0.580031292,0
224,Glasses,AI,49,30,23,5,48968.90636,24792.91,1,0.136796468,0.369111078,0.494605405
225,Glasses,AI,4,37,29,8,100670.4479,24792.91,1,0.504099602,0.239927291,0.256228638
226,Glasses,AI,40,49,47,4,136789.4667,20529.4971,1,0.781911441,0.5621193,0
227,Glasses,Search Engine,17,36,32,4,66655.43451,22385.85088,1,0,0.410162876,0.812872989
228,Cheerper,Support,76,46,46,1,40000,13656.83616,4,0,0.548398067,0.982130478
229,Cheerper,Support,1,30,22,8,88787.98817,14744.55038,4,0.487196986,0.49186069,0.020594548
230,Pear,Sales,22,42,35,7,104514.8159,14886.59832,1,0.663547718,0.245088558,0.090758177
231,Glasses,AI,6,32,26,6,100692.2122,24792.91,1,0.486698286,0.121990374,0.391802982
232,Glasses,Design,8,30,22,7,95221.89769,21189.80485,2,0.774490499,0,0.238662333
233,Pear,Sales,65,42,45,1,78242.26408,16577.60896,3,0.061541543,0,1
234,Pear,Sales,26,49,48,1,126278.4261,16116.1414,3,0.895526543,0,0.583432079
235,Pear,Sales,47,43,40,3,94851.49644,14169.87387,3,0.820557437,0,0.475588842
236,Glasses,Search Engine,18,30,26,3,96929.01586,22737.80985,3,0.350612767,0.565694136,0.083234
237,Glasses,Search Engine,25,30,24,6,73411.80212,19638.07742,2,0.25581041,0.599233287,0.144862432
238,Cheerper,BigData,54,46,41,5,84047.09617,13780.16664,3,0.340972517,0.324995644,0.333866091
239,Pear,Sales,29,30,22,8,129609.2718,14829.94345,4,1,0,0
240,Glasses,Search Engine,34,30,22,5,55266.4145,21975.3651,2,0.041194113,0.299873744,0.659098744
241,Glasses,Design,40,38,31,7,82522.40345,20893.94651,1,0.545026865,0,0.520275316
242,Glasses,Design,1,30,23,5,153000,24792.91,1,0.966311757,0.06603494,0
243,Pear,Sales,40,32,29,2,106030.5444,17521.09599,3,0.899566823,0,0.615085508
244,Pear,Sales,33,35,36,1,116891.5896,19012.02974,3,1,0,0.533900575
245,Pear,Design,23,41,41,1,103299.5806,16711.63599,3,0.365177583,0,0.98669813
246,Cheerper,Support,31,43,37,6,54756.55524,21922.38155,2,0,0.763558349,0.693224311
247,Cheerper,Support,80,30,24,4,40000,19694.35046,3,0,1,1
248,Glasses,AI,1,42,37,4,153000,24792.91,1,0.780023612,0.526100679,0
249,Glasses,AI,1,30,29,1,88793.96629,14027.04521,4,0.356881332,0,1
250,Glasses,Design,23,30,22,7,75909.04411,20513.83672,2,0.619978935,0.234938633,0.145355304
251,Glasses,Design,1,30,25,6,153000,24792.91,2,0.76550175,0.35902817,0
252,Glasses,AI,39,30,22,7,52044.37513,20848.24847,2,0.005143141,0.590658205,0.403894289
253,Cheerper,Support,71,34,36,1,40000,23101.66001,3,0,0.378711991,1
254,Pear,Sales,73,35,37,1,60997.69031,22759.84161,3,0.314617914,0,1
255,Glasses,AI,3,35,30,5,91443.7208,20287.62968,3,0.362440362,0.151273579,0.486268724
256,Glasses,Design,1,38,31,7,153000,14331.78013,3,1,0.001671651,0
257,Pear,Sales,9,49,48,1,153000,19968.94038,3,1,0,0.39534409
258,Glasses,AI,25,30,26,5,74094.85432,24792.91,1,0.051131209,0.2567013,0.691789012
259,Cheerper,BigData,26,32,24,8,84612.61045,19059.96665,2,0.29088232,0.888091945,0
260,Cheerper,Search Engine,60,41,34,8,71581.3401,23990.23414,1,0.205827778,1,0
261,Pear,Sales,26,44,35,8,134066.6951,15446.66981,2,1,0.222427523,0
262,Glasses,Design,70,40,37,3,54409.46678,20134.52405,1,0.005201815,0.340672354,0.653979865
263,Glasses,Search Engine,1,30,22,6,105558.3869,24345.24824,2,0,0.513299809,0.510397114
264,Cheerper,Support,48,41,35,6,40000,17739.00232,2,0,0.848977467,0.744162635
265,Cheerper,Support,47,41,36,5,40000,23411.91623,1,0,1,0.564539147
266,Glasses,Search Engine,54,41,38,3,71511.65384,24792.91,1,0,0.79363852,0.431951881
267,Glasses,Search Engine,61,31,24,7,40000,14334.71777,3,0.20487478,0.396826443,0.398639395
268,Glasses,Search Engine,80,47,44,2,40000,15825.01195,2,0,0.545220562,1
269,Glasses,AI,65,49,48,1,82283.78196,9647.818672,4,0.180900888,0,0.89632614
270,Glasses,AI,36,36,32,4,88070.76268,20352.27887,3,0.546524724,0.193085231,0.26008289
271,Glasses,BigData,48,42,42,1,56427.17748,16184.71558,3,0,0.19199966,1
272,Glasses,Search Engine,58,30,22,8,40000,17158.12713,3,0.049239723,0.595404507,0.355069427
273,Glasses,AI,35,37,31,5,72995.74195,9000,5,0.674010204,0,0.387277943
274,Glasses,AI,43,39,35,4,65412.47506,14793.71182,2,0,0.087625106,1
275,Cheerper,Support,68,49,48,2,95223.53568,12532.13635,5,0.348610889,1,0
276,Pear,Design,48,43,43,1,107521.5749,9000,5,0.998672818,0,0.392107331
277,Glasses,Sales,10,47,46,1,153000,17618.74812,2,0.823795703,0.076226076,0.100924432
278,Pear,Design,38,49,48,4,125418.0387,14464.23469,3,0.949550797,0,0.200345842
279,Cheerper,BigData,3,30,22,7,104070.4598,16234.90018,5,0.703116483,0.846345562,0
280,Pear,Sales,34,41,35,6,113864.0273,22306.06882,1,0.761171216,0,0.268189282
281,Cheerper,BigData,37,49,46,6,75272.12313,23430.0381,1,0,1,0.248529797
282,Cheerper,Support,37,34,25,8,62169.78024,17153.29592,2,0.098815745,1,0
283,Pear,Design,1,30,22,9,123603.7758,17149.90261,4,1,0.080812981,0
284,Cheerper,Support,56,40,39,1,50693.9242,20370.05739,2,0,1,0.484404973
285,Glasses,Search Engine,74,49,48,2,56832.32432,17957.11461,3,0.024086388,0.229891615,0.746211421
286,Cheerper,Support,28,43,30,9,67504.9316,9000,4,0.191199456,1,0
287,Cheerper,Support,1,31,26,5,123703.101,18049.54388,4,0.790549277,0.62658252,0
288,Glasses,Design,1,37,30,7,122568.5541,23487.20316,1,0.543081822,0.311656557,0.145157716
289,Cheerper,Support,7,36,32,4,93797.69498,15149.57818,4,0,1,0.126970828
290,Glasses,Design,11,40,33,7,120721.0125,18344.32284,1,0.716768543,0.40103384,0
291,Cheerper,Search Engine,24,42,37,6,106062.8312,9000,4,0.646425286,0.635126664,0
292,Cheerper,Search Engine,57,43,34,9,80242.91047,18557.62203,1,0.499189473,1,0
293,Glasses,AI,17,33,23,9,91087.02393,17716.79653,3,0.596853438,0.601513327,0
294,Cheerper,Support,25,34,30,4,52729.57839,16362.85565,4,0,0.654961359,0.682956664
295,Glasses,AI,46,49,47,4,108293.4729,12827.89436,3,0.478971922,0.444742694,0.076573164
296,Cheerper,Support,31,34,27,7,62027.54403,16721.72134,3,0,1,0
